map_name	map_start	map_stop	feature_name	feature_start	feature_stop	feature_type	
ctg118	1.00	430.00	AC105773	99.00	117.00	Clone	
ctg118	1.00	430.00	AC107085	136.00	172.00	Clone	
ctg118	1.00	430.00	AC108875	380.00	406.00	Clone	
ctg119	1.00	68.00	R2724	13.50		Marker	
ctg119	1.00	68.00	R1320	54.00		Marker	
ctg119	1.00	68.00	AC109595	39.00	57.00	Clone	
ctg12	1.00	114.00	RM129	37.00		Marker	
ctg12	1.00	114.00	RM24	18.50		Marker	
ctg12	1.00	114.00	C911	65.00		Marker	
ctg12	1.00	114.00	AP004641	3.00	33.00	Clone	
ctg12	1.00	114.00	AP004357	0.00	36.00	Clone	
ctg12	1.00	114.00	AP003447	74.00	108.00	Clone	
ctg12	1.00	114.00	AP003370	27.00	47.00	Clone	
ctg12	1.00	114.00	AP003350	45.00	85.00	Clone	
ctg120	1.00	130.00	C308	63.50		Marker	
ctg120	1.00	130.00	R594	101.00		Marker	
ctg120	1.00	130.00	C624	98.00		Marker	
ctg120	1.00	130.00	AC105318	90.00	112.00	Clone	
ctg120	1.00	130.00	AC105769	59.00	81.00	Clone	
ctg120	1.00	130.00	AC108502	54.00	72.00	Clone	
ctg121	1.00	349.00	RM534	324.00		Marker	
ctg121	1.00	349.00	RM421	324.00		Marker	
ctg121	1.00	349.00	C903	40.00		Marker	
ctg121	1.00	349.00	R1559	242.50		Marker	
ctg121	1.00	349.00	C128	47.50		Marker	
ctg121	1.00	349.00	C1402	211.00		Marker	
ctg121	1.00	349.00	R3149S	324.00		Marker	
ctg121	1.00	349.00	RM188	44.00		Marker	
ctg121	1.00	349.00	R2117	179.50		Marker	
ctg121	1.00	349.00	RZ455	35.00		Marker	
ctg121	1.00	349.00	AC093952	293.00	327.00	Clone	
ctg121	1.00	349.00	AC097175	308.00	340.00	Clone	
ctg121	1.00	349.00	AC105770	2.00	28.00	Clone	
ctg121	1.00	349.00	AC108876	37.00	51.00	Clone	
ctg121	1.00	349.00	AC112159	93.00	117.00	Clone	
ctg122	3.00	111.00	C43	53.00		Marker	
ctg122	3.00	111.00	L1044	54.50		Marker	
ctg122	3.00	111.00	C47	45.50		Marker	
ctg122	3.00	111.00	L1013	46.50		Marker	
ctg122	3.00	111.00	AC093919	38.00	60.00	Clone	
ctg122	3.00	111.00	AC097176	18.00	44.00	Clone	
ctg122	3.00	111.00	AC111016	50.00	86.00	Clone	
ctg123	1.00	177.00	G81	76.00		Marker	
ctg123	1.00	177.00	C1018	101.50		Marker	
ctg123	1.00	177.00	R742	147.00		Marker	
ctg123	1.00	177.00	AC108523	68.00	84.00	Clone	
ctg123	1.00	177.00	AC113332	101.00	125.00	Clone	
ctg124	2.00	148.00	S11241	79.50		Marker	
ctg124	2.00	148.00	L176	27.50		Marker	
ctg124	2.00	148.00	AC108522	40.00	56.00	Clone	
ctg124	2.00	148.00	AC108873	73.00	101.00	Clone	
ctg124	2.00	148.00	AC113334	5.00	33.00	Clone	
ctg125	1.00	300.00	S10693	267.00		Marker	
ctg125	1.00	300.00	S2581	177.00		Marker	
ctg125	1.00	300.00	S2678	87.00		Marker	
ctg125	1.00	300.00	E11382S	54.00		Marker	
ctg125	1.00	300.00	C2782	234.00		Marker	
ctg125	1.00	300.00	RM274	234.00		Marker	
ctg125	1.00	300.00	AC097111	166.00	180.00	Clone	
ctg125	1.00	300.00	AC097112	173.00	201.00	Clone	
ctg125	1.00	300.00	AC098833	240.00	266.00	Clone	
ctg125	1.00	300.00	AC104278	271.00	293.00	Clone	
ctg125	1.00	300.00	AC104713	222.00	246.00	Clone	
ctg125	1.00	300.00	AC109596	77.00	97.00	Clone	
ctg125	1.00	300.00	AC111015	110.00	134.00	Clone	
ctg126	1.00	401.00	RZ925	306.00		Marker	
ctg126	1.00	401.00	S974	116.50		Marker	
ctg126	1.00	401.00	R1714	144.50		Marker	
ctg126	1.00	401.00	R2953	105.00		Marker	
ctg126	1.00	401.00	C477	106.50		Marker	
ctg126	1.00	401.00	C1447	329.00		Marker	
ctg126	1.00	401.00	S14121	203.00		Marker	
ctg126	1.00	401.00	C686	70.00		Marker	
ctg126	1.00	401.00	Y2744R	105.00		Marker	
ctg126	1.00	401.00	E3060S	329.00		Marker	
ctg126	1.00	401.00	E12196S	112.00		Marker	
ctg126	1.00	401.00	G188	329.00		Marker	
ctg126	1.00	401.00	RM31	306.00		Marker	
ctg126	1.00	401.00	AC007858	343.50		Clone	
ctg126	1.00	401.00	AC007858	337.00	361.00	Clone	
ctg126	1.00	401.00	AC093956	58.00	82.00	Clone	
ctg126	1.00	401.00	AC098571	319.00	339.00	Clone	
ctg126	1.00	401.00	AC098573	354.00	374.00	Clone	
ctg126	1.00	401.00	AC098832	295.00	317.00	Clone	
ctg126	1.00	401.00	AC104284	268.00	304.00	Clone	
ctg126	1.00	401.00	AC104709	85.00	125.00	Clone	
ctg126	1.00	401.00	AC113333	137.00	175.00	Clone	
ctg127	2.00	31.00	S11036	18.50		Marker	
ctg128	1.00	154.00	C1230	130.50		Marker	
ctg128	1.00	154.00	AC098598	119.00	143.00	Clone	
ctg128	1.00	154.00	AC105260	110.00	128.00	Clone	
ctg129	4.00	516.00	C402	364.00		Marker	
ctg129	4.00	516.00	RM589	295.00		Marker	
ctg129	4.00	516.00	S10068	115.00		Marker	
ctg129	4.00	516.00	S10372	166.00		Marker	
ctg129	4.00	516.00	RM190	364.00		Marker	
ctg129	4.00	516.00	G8010	343.00		Marker	
ctg129	4.00	516.00	C1084	453.50		Marker	
ctg129	4.00	516.00	G8015	343.00		Marker	
ctg129	4.00	516.00	G8016	343.00		Marker	
ctg129	4.00	516.00	G8017	85.00		Marker	
ctg129	4.00	516.00	G8018	85.00		Marker	
ctg129	4.00	516.00	RM469	85.00		Marker	
ctg129	4.00	516.00	C952	278.50		Marker	
ctg129	4.00	516.00	S2330	166.00		Marker	
ctg129	4.00	516.00	S1084	360.50		Marker	
ctg129	4.00	516.00	RM597	295.00		Marker	
ctg129	4.00	516.00	R3139	294.50		Marker	
ctg129	4.00	516.00	S1515	141.00		Marker	
ctg129	4.00	516.00	R560	118.00		Marker	
ctg129	4.00	516.00	E10330	364.00		Marker	
ctg129	4.00	516.00	R1952	484.00		Marker	
ctg129	4.00	516.00	RM435	85.00		Marker	
ctg129	4.00	516.00	RM508	68.00		Marker	
ctg129	4.00	516.00	R565	180.50		Marker	
ctg129	4.00	516.00	C474	138.50		Marker	
ctg129	4.00	516.00	C76	397.00		Marker	
ctg129	4.00	516.00	G8007	467.00		Marker	
ctg129	4.00	516.00	G8008	499.00		Marker	
ctg129	4.00	516.00	G8009	343.00		Marker	
ctg129	4.00	516.00	C62780S	467.00		Marker	
ctg129	4.00	516.00	E213S	207.00		Marker	
ctg129	4.00	516.00	R2869	118.00		Marker	
ctg129	4.00	516.00	S2107	250.50		Marker	
ctg129	4.00	516.00	E567S	253.00		Marker	
ctg129	4.00	516.00	RM586	318.00		Marker	
ctg129	4.00	516.00	RM587	499.00		Marker	
ctg129	4.00	516.00	RM588	318.00		Marker	
ctg129	4.00	516.00	AL607097	8.00	32.00	Clone	
ctg129	4.00	516.00	AL607102	355.00	385.00	Clone	
ctg129	4.00	516.00	AP000391	300.00	336.00	Clone	
ctg129	4.00	516.00	AP000399	450.00	484.00	Clone	
ctg129	4.00	516.00	AP000559	328.00	358.00	Clone	
ctg129	4.00	516.00	AP000616	70.00	100.00	Clone	
ctg129	4.00	516.00	AP001129	49.00	87.00	Clone	
ctg129	4.00	516.00	AP001168	276.00	314.00	Clone	
ctg129	4.00	516.00	AP001389	145.00	187.00	Clone	
ctg129	4.00	516.00	AP001552	98.00	138.00	Clone	
ctg129	4.00	516.00	AP002542	347.00	381.00	Clone	
ctg129	4.00	516.00	AP002837	178.00	198.00	Clone	
ctg129	4.00	516.00	AP002842	27.00	45.00	Clone	
ctg129	4.00	516.00	AP003487	484.00	514.00	Clone	
ctg129	4.00	516.00	AP003526	387.00	423.00	Clone	
ctg129	4.00	516.00	AP003564	192.00	222.00	Clone	
ctg129	4.00	516.00	AP003708	413.00	449.00	Clone	
ctg129	4.00	516.00	AP004234	375.00	415.00	Clone	
ctg13	-4.00	636.00	R1928	573.00		Marker	
ctg13	-4.00	636.00	RZ744	276.00		Marker	
ctg13	-4.00	636.00	CDO920	501.50		Marker	
ctg13	-4.00	636.00	E50872S	583.00		Marker	
ctg13	-4.00	636.00	S765	430.00		Marker	
ctg13	-4.00	636.00	G270	605.50		Marker	
ctg13	-4.00	636.00	BCD134	484.50		Marker	
ctg13	-4.00	636.00	R2159	497.50		Marker	
ctg13	-4.00	636.00	E3232S	280.00		Marker	
ctg13	-4.00	636.00	E60464S	276.00		Marker	
ctg13	-4.00	636.00	AP004614	239.00	255.00	Clone	
ctg13	-4.00	636.00	AP004362	67.00	99.00	Clone	
ctg13	-4.00	636.00	AP004361	137.00	171.00	Clone	
ctg13	-4.00	636.00	AP004361	138.00	170.00	Clone	
ctg13	-4.00	636.00	AP004361	140.00	168.00	Clone	
ctg13	-4.00	636.00	AP004361	141.00	167.00	Clone	
ctg13	-4.00	636.00	AP004360	76.00	112.00	Clone	
ctg13	-4.00	636.00	AP004258	269.00	299.00	Clone	
ctg13	-4.00	636.00	AP004233	167.00	191.00	Clone	
ctg13	-4.00	636.00	AP004232	190.00	208.00	Clone	
ctg13	-4.00	636.00	AP004231	204.00	246.00	Clone	
ctg13	-4.00	636.00	AP004225	260.00	292.00	Clone	
ctg13	-4.00	636.00	AP003933	292.00	320.00	Clone	
ctg13	-4.00	636.00	AP003924	377.00	423.00	Clone	
ctg13	-4.00	636.00	AP003902	318.00	354.00	Clone	
ctg13	-4.00	636.00	AP003516	114.00	148.00	Clone	
ctg13	-4.00	636.00	AP003449	21.00	61.00	Clone	
ctg13	-4.00	636.00	AP003445	-4.00	34.00	Clone	
ctg13	-4.00	636.00	AP003443	368.00	406.00	Clone	
ctg13	-4.00	636.00	AP003432	571.00	595.00	Clone	
ctg13	-4.00	636.00	AP003413	566.00	580.00	Clone	
ctg13	-4.00	636.00	AP003372	352.00	378.00	Clone	
ctg13	-4.00	636.00	AP003342	466.00	490.00	Clone	
ctg13	-4.00	636.00	AP003334	517.00	537.00	Clone	
ctg13	-4.00	636.00	AP003310	619.00	631.00	Clone	
ctg13	-4.00	636.00	AP003308	539.00	569.00	Clone	
ctg13	-4.00	636.00	AP003296	472.00	496.00	Clone	
ctg13	-4.00	636.00	AP003267	417.00	443.00	Clone	
ctg13	-4.00	636.00	AP003141	493.00	515.00	Clone	
ctg13	-4.00	636.00	AP003075	436.00	470.00	Clone	
ctg130	6.00	78.00	R2291	25.00		Marker	
ctg130	6.00	78.00	RZ516	30.00		Marker	
ctg130	6.00	78.00	S21003S	25.00		Marker	
ctg130	6.00	78.00	R2749	45.50		Marker	
ctg130	6.00	78.00	R1962	57.50		Marker	
ctg130	6.00	78.00	AP004806	37.00	77.00	Clone	
ctg130	6.00	78.00	AP003767	10.00	40.00	Clone	
ctg130	6.00	78.00	AP003632	23.00	37.00	Clone	
ctg131	1.00	488.00	S1520	354.50		Marker	
ctg131	1.00	488.00	S10207	149.50		Marker	
ctg131	1.00	488.00	E10921	77.00		Marker	
ctg131	1.00	488.00	L1092	461.50		Marker	
ctg131	1.00	488.00	RM584	143.00		Marker	
ctg131	1.00	488.00	C498	263.00		Marker	
ctg131	1.00	488.00	C764	18.50		Marker	
ctg131	1.00	488.00	E664S	323.00		Marker	
ctg131	1.00	488.00	G165	323.00		Marker	
ctg131	1.00	488.00	R845	235.00		Marker	
ctg131	1.00	488.00	RZ588	465.00		Marker	
ctg131	1.00	488.00	G30	77.00		Marker	
ctg131	1.00	488.00	R1954	465.00		Marker	
ctg131	1.00	488.00	L533	330.50		Marker	
ctg131	1.00	488.00	R2242S	149.50		Marker	
ctg131	1.00	488.00	E51266S	323.00		Marker	
ctg131	1.00	488.00	RM510	18.00		Marker	
ctg131	1.00	488.00	R2634	77.00		Marker	
ctg131	1.00	488.00	RM225	143.00		Marker	
ctg131	1.00	488.00	S2069	235.00		Marker	
ctg131	1.00	488.00	C1032	71.50		Marker	
ctg131	1.00	488.00	RZ2	117.00		Marker	
ctg131	1.00	488.00	C226	175.00		Marker	
ctg131	1.00	488.00	RM204	77.00		Marker	
ctg131	1.00	488.00	S1434	263.00		Marker	
ctg131	1.00	488.00	AP004738	388.00	424.00	Clone	
ctg131	1.00	488.00	AP004552	307.00	339.00	Clone	
ctg131	1.00	488.00	AP004280	435.00	459.00	Clone	
ctg131	1.00	488.00	AP004239	4.00	32.00	Clone	
ctg131	1.00	488.00	AP003514	422.00	458.00	Clone	
ctg131	1.00	488.00	AP003510	453.00	477.00	Clone	
ctg131	1.00	488.00	AP003508	348.00	392.00	Clone	
ctg131	1.00	488.00	AP003489	337.00	349.00	Clone	
ctg131	1.00	488.00	AP003019	244.00	282.00	Clone	
ctg131	1.00	488.00	AP002864	160.00	174.00	Clone	
ctg131	1.00	488.00	AP002854	194.00	218.00	Clone	
ctg131	1.00	488.00	AP002536	97.00	117.00	Clone	
ctg131	1.00	488.00	AP002071	159.00	191.00	Clone	
ctg131	1.00	488.00	AP002069	218.00	252.00	Clone	
ctg131	1.00	488.00	AB026295	58.00	96.00	Clone	
ctg131	1.00	488.00	AB023482	125.00	161.00	Clone	
ctg131	1.00	488.00	AB026295	84.00		Clone	
ctg131	1.00	488.00	AB023482	140.50		Clone	
ctg132	1.00	267.00	Y2769L	38.00		Marker	
ctg132	1.00	267.00	E107S	246.00		Marker	
ctg132	1.00	267.00	RM111	17.00		Marker	
ctg132	1.00	267.00	R2349	187.00		Marker	
ctg132	1.00	267.00	L688	182.00		Marker	
ctg132	1.00	267.00	C999	46.50		Marker	
ctg132	1.00	267.00	RM276	246.00		Marker	
ctg132	1.00	267.00	AP004796	25.00	53.00	Clone	
ctg132	1.00	267.00	AP004758	84.00	116.00	Clone	
ctg132	1.00	267.00	AP004754	70.00	98.00	Clone	
ctg132	1.00	267.00	AP004741	174.00	202.00	Clone	
ctg132	1.00	267.00	AP004322	177.00	197.00	Clone	
ctg132	1.00	267.00	AP003946	5.00	29.00	Clone	
ctg132	1.00	267.00	AP003525	172.00	202.00	Clone	
ctg132	1.00	267.00	AP003488	231.00	261.00	Clone	
ctg132	1.00	267.00	AP003458	133.00	167.00	Clone	
ctg133	1.00	314.00	C1478	105.50		Marker	
