map_name	map_start	map_stop	feature_name	feature_alt_name	feature_start	feature_stop	feature_type
ctg3307	3	168	umc59	umc59	114		Marker
ctg3398	2	84	umc52	umc52	50.5		Marker
ctg343	2	59	umc168	UMC168	32		Marker
ctg3448	2	82	asg34	asg34	26.5		Marker
ctg3501	2	143	umc156	umc156	77		Marker
ctg3542	6	63	csu93	csu93	34.5		Marker
ctg3550	3	38	umc31	umc31	21.5		Marker
ctg358	2	224	umc52	umc52	171		Marker
ctg36	1	65	asg24	asg24	19		Marker
ctg361	1	236	umc66	umc66	51.5		Marker
ctg361	1	236	csu3	CSU3	51.5		Marker
ctg37	1	129	asg48	asg48	40		Marker
ctg3775	1	57	umc53	umc53	14		Marker
ctg382	2	61	umc59	umc59	19.5		Marker
ctg3821	4	123	umc254	umc254	88.5		Marker
ctg3821	4	123	umc157	UMC157	15		Marker
ctg3822	1	250	asg7	asg7	97		Marker
ctg3822	1	250	tub1	tub1	97		Marker
ctg3822	1	250	tub4	tub4	97		Marker
ctg39	1	126	umc102	umc102	108		Marker
ctg3922	1	61	asg62	asg62	44.5		Marker
ctg3926	1	65	asg45	asg45	23		Marker
ctg3941	1	119	csu31	CSU31	72		Marker
ctg4002	3	70	umc109	umc109	18.5		Marker
ctg4017	2	54	umc53	umc53	12.5		Marker
ctg404	3	78	asg8	asg8	56.5		Marker
ctg4080	1	39	asg7	asg7	15.5		Marker
ctg4106	1	34	umc52	umc52	12		Marker
ctg4163	1	49	umc156	umc156	25		Marker
ctg4217	1	64	umc131	umc131	31.5		Marker
ctg4237	-2	70	umc157	UMC157	28.5		Marker
ctg424	4	131	asg24	asg24	101.5		Marker
ctg43	2	28	umc17	umc17	11.5		Marker
ctg4365	1	128	umc132	UMC132	12		Marker
ctg4386	2	76	npi409	NPI409	59.5		Marker
ctg44	2	314	asg69	asg69	214		Marker
ctg44	2	314	umc63	umc63	225		Marker
ctg4432	1	56	umc131	umc131	41.5		Marker
ctg4468	4	52	umc102	umc102	27.5		Marker
ctg4498	1	183	umc63	umc63	31		Marker
ctg4522	2	74	umc53	umc53	52		Marker
ctg4591	2	69	csu25	CSU25	15.5		Marker
ctg462	2	155	tub1	tub1	72		Marker
ctg4639	3	70	umc59	umc59	44.5		Marker
ctg4688	1	35	umc52	umc52	22.5		Marker
ctg4706	1	62	asg7	asg7	30.5		Marker
ctg4719	2	54	umc31	umc31	19		Marker
ctg481	1	125	umc59	umc59	15.5		Marker
ctg4896	8	47	asg62	asg62	34		Marker
ctg4990	4	174	umc53	umc53	124.5		Marker
ctg5012	1	58	umc31	umc31	38		Marker
ctg503	6	180	csu93	csu93	96.5		Marker
ctg5081	1	89	umc52	umc52	36		Marker
ctg510	2	81	umc52	umc52	59.5		Marker
ctg5143	1	131	umc63	umc63	86.5		Marker
ctg5144	2	58	agrr21	agrr21	20		Marker
ctg5163	3	40	umc32	umc32	22		Marker
ctg5169	1	58	umc107	umc107	13.5		Marker
ctg5172	6	39	umc38	UMC38	21.5		Marker
ctg5213	3	135	npi220	NPI220	86.5		Marker
ctg5225	1	39	umc131	umc131	18.5		Marker
ctg523	6	135	umc53	umc53	121.5		Marker
ctg5237	1	53	asg48	asg48	10		Marker
ctg5276	1	67	csu93	csu93	14.5		Marker
ctg5277	2	65	umc34	umc34	17		Marker
ctg5349	4	273	csu164	csu164	172.5		Marker
ctg5371	1	27	umc66	umc66	12		Marker
ctg548	2	222	umc52	umc52	47		Marker
ctg55	1	153	umc52	umc52	139		Marker
ctg552	1	342	asg69	asg69	167		Marker
ctg5583	1	147	umc255	umc255	33		Marker
ctg5662	4	38	umc59	umc59	24		Marker
ctg569	4	156	umc131	umc131	114.5		Marker
ctg570	4	173	npi268	npi268	153.5		Marker
ctg5738	1	55	umc52	umc52	37.5		Marker
ctg575	1	192	asg69	asg69	176.5		Marker
ctg576	2	120	umc59	umc59	23		Marker
ctg581	2	276	umc259	umc259	115.5		Marker
ctg5814	1	139	asg7	asg7	67		Marker
ctg5842	2	43	npi409	NPI409	14.5		Marker
ctg5922	2	27	umc6	UMC6	12.5		Marker
ctg5998	3	46	umc53	umc53	33		Marker
ctg60	1	71	npi409	NPI409	49.5		Marker
ctg6011	1	41	asg48	asg48	15.5		Marker
ctg6024	2	33	csu25	CSU25	13.5		Marker
ctg6044	5	30	umc102	umc102	13		Marker
ctg6248	5	36	umc161	umc161	11.5		Marker
ctg640	9	138	csu164	csu164	109		Marker
ctg668	5	72	csu3	CSU3	21.5		Marker
ctg685	1	61	umc102	umc102	26.5		Marker
ctg685	1	61	asg7	asg7	18		Marker
ctg685	1	61	asg8	asg8	23		Marker
ctg685	1	61	umc63	umc63	25		Marker
ctg6980	3	31	umc130	UMC130	15		Marker
ctg70	3	236	umc128	umc128	24.5		Marker
ctg70	3	236	umc156	umc156	24.5		Marker
ctg70	3	236	umc126	UMC126	24.5		Marker
ctg714	5	106	umc254	umc254	82.5		Marker
ctg714	5	106	umc102	umc102	44		Marker
ctg7265	1	24	asg34	asg34	10.5		Marker
ctg7308	1	25	umc44	UMC44	13		Marker
ctg733	1	129	asg48	asg48	87.5		Marker
ctg74	1	77	php10017	PHP10017	59.5		Marker
ctg744	2	244	asg69	asg69	169		Marker
ctg75	1	154	umc52	umc52	93.5		Marker
ctg754	2	166	umc52	umc52	107		Marker
ctg76	-1	110	umc85	umc85	16		Marker
ctg760	7	199	asg34	asg34	145.5		Marker
ctg766	4	149	asg69	asg69	117		Marker
ctg7677	-2	18	umc17	umc17	8		Marker
ctg769	2	127	umc131	umc131	70		Marker
ctg7753	1	11	tub1	tub1	6		Marker
ctg78	2	70	umc65	UMC65	16.5		Marker
ctg792	4	104	umc52	umc52	29.5		Marker
ctg7968	-2	15	asg7	asg7	8		Marker
ctg7968	-2	15	asg8	asg8	8		Marker
ctg80	5	145	umc38	UMC38	48		Marker
ctg8032	-4	17	csu164	csu164	7		Marker
ctg805	6	92	umc17	umc17	25.5		Marker
ctg81	-3	142	umc132	UMC132	120.5		Marker
ctg8127	6	123	npi220	NPI220	68		Marker
ctg8195	1	138	agrr37	agrr37	68.5		Marker
ctg8209	2	77	umc52	umc52	32		Marker
ctg8213	2	109	umc59	umc59	59.5		Marker
ctg8242	1	37	asg69	asg69	20		Marker
ctg8325	2	194	csu31	CSU31	129.5		Marker
ctg8516	1	421	umc254	umc254	171		Marker
ctg8518	1	331	npi285	NPI285	42		Marker
ctg8542	2	200	umc259	umc259	83.5		Marker
ctg8544	1	145	umc38	UMC38	47		Marker
ctg8548	1	118	php20608	php20608	95.5		Marker
ctg8561	1	198	npi220	NPI220	181.5		Marker
ctg8572	3	236	csu3	CSU3	153		Marker
ctg8577	2	192	umc53	umc53	41.5		Marker
ctg8609	2	37	asg7	asg7	15		Marker
ctg8615	3	107	umc131	umc131	14.5		Marker
ctg8650	1	138	agrr37	agrr37	103		Marker
ctg8650	1	138	csu164	csu164	103		Marker
ctg866	-1	62	umc156	umc156	25.5		Marker
ctg8660	1	106	umc53	umc53	41		Marker
ctg8662	14	213	npi220	NPI220	108.5		Marker
ctg8669	3	151	umc53	umc53	68		Marker
ctg87	1	298	asg7	asg7	235		Marker
ctg87	1	298	asg8	asg8	235		Marker
ctg89	6	99	asg34	asg34	78		Marker
ctg9	1	192	umc128	umc128	102.5		Marker
ctg900	8	334	umc131	umc131	165		Marker
ctg901	1	102	asg62	asg62	74		Marker
ctg913	1	85	csu3	CSU3	50		Marker
ctg916	1	177	csu93	csu93	63		Marker
ctg96	3	163	umc53	umc53	131		Marker
ctg963	2	96	asg48	asg48	53.5		Marker
ctg969	5	84	umc254	umc254	47.5		Marker
